age,Dept,education,job_level,rating,onsite,awards,certifications,salary,satisfied
50,Purchasing,UG,2,3,1,3,1,29805,0
40,Purchasing,UG,4,5,1,6,1,65715,1
50,Purchasing,PG,2,4,0,1,0,29805,1
25,Purchasing,UG,5,5,1,8,1,86750,1
33,Purchasing,PG,5,2,1,7,1,86750,0
37,Marketing,PG,5,4,1,7,0,86750,1
53,Sales,PG,1,2,1,6,1,24076,1
49,Purchasing,UG,4,4,1,3,1,65715,1
52,Sales,PG,5,4,0,1,1,86750,0
33,Marketing,UG,1,2,1,2,1,24076,1
39,Marketing,PG,4,3,1,5,1,65715,0
39,Sales,UG,2,1,1,4,1,29805,1
28,HR,PG,1,5,1,7,1,24076,0
54,Technology,UG,3,4,0,5,1,42419,1
27,HR,PG,1,5,0,5,0,24076,1
30,HR,UG,1,2,0,0,0,24076,0
24,HR,UG,4,5,1,3,1,65715,0
38,Purchasing,UG,2,2,1,4,1,29805,0
42,Marketing,UG,3,5,0,2,0,42419,1
46,HR,PG,5,1,0,8,1,86750,1
34,Marketing,PG,5,1,0,0,1,86750,1
28,Sales,UG,1,1,1,5,0,24076,1
23,Technology,PG,4,1,1,5,0,65715,0
53,Sales,UG,4,1,0,9,0,65715,1
26,Sales,UG,5,1,0,4,1,86750,1
39,Purchasing,PG,3,2,0,4,1,42419,1
35,Technology,UG,2,4,1,9,0,29805,1
40,Sales,UG,3,5,1,4,0,42419,1
27,Sales,PG,2,1,1,5,1,29805,1
52,Technology,UG,5,2,0,7,0,86750,1
46,Technology,UG,2,2,0,1,1,29805,0
46,Sales,UG,4,2,1,5,1,65715,1
49,Technology,UG,1,4,0,0,0,24076,1
25,Sales,PG,1,5,1,3,0,24076,1
33,Sales,PG,5,4,0,9,1,86750,1
35,Purchasing,PG,4,3,0,2,0,65715,0
26,HR,UG,3,2,0,8,0,42419,0
48,Sales,UG,4,3,0,2,0,65715,0
49,Marketing,PG,1,1,1,5,0,24076,0
36,HR,UG,1,1,0,0,1,24076,0
44,HR,UG,4,4,1,5,1,65715,0
33,HR,UG,4,5,1,3,1,65715,1
54,Purchasing,UG,1,3,1,7,1,24076,0
49,Sales,PG,3,5,0,8,0,42419,0
32,Purchasing,PG,5,4,1,3,0,86750,1
41,Sales,PG,5,1,1,9,1,86750,0
40,Purchasing,UG,4,5,1,9,1,65715,1
28,Purchasing,PG,5,5,0,5,0,86750,1
49,Marketing,PG,1,1,0,0,1,24076,0
51,Purchasing,UG,1,3,1,3,1,24076,1
37,Technology,UG,4,1,0,6,0,65715,0
43,Marketing,PG,4,5,1,0,1,65715,0
52,Purchasing,PG,4,3,1,7,0,65715,1
32,HR,PG,3,3,0,9,0,42419,1
27,Technology,PG,5,1,1,5,1,86750,0
48,Technology,UG,4,5,0,4,0,65715,1
51,Technology,PG,2,4,0,9,1,29805,1
27,Marketing,PG,2,5,1,8,0,29805,0
32,Purchasing,UG,1,2,0,1,1,24076,0
50,Purchasing,PG,5,4,0,4,1,86750,1
27,HR,UG,4,3,1,5,1,65715,0
25,HR,UG,2,4,1,6,0,29805,0
45,Technology,UG,5,3,0,4,0,86750,0
28,HR,PG,1,3,0,8,1,24076,0
26,Marketing,PG,3,4,1,0,0,42419,0
40,Purchasing,UG,5,3,0,6,1,86750,0
50,Technology,PG,5,3,0,9,1,86750,0
31,HR,PG,3,2,0,6,0,42419,1
39,Marketing,UG,5,5,0,3,1,86750,0
51,Marketing,UG,1,5,0,8,0,24076,1
35,HR,PG,1,2,0,4,1,24076,1
49,Purchasing,UG,3,4,0,3,0,42419,1
37,HR,PG,4,1,1,6,1,65715,0
52,Technology,PG,2,1,1,3,1,29805,0
42,HR,PG,4,1,1,2,0,65715,1
39,Marketing,PG,5,2,1,8,1,86750,0
35,HR,UG,2,2,1,7,1,29805,1
54,Purchasing,UG,3,3,0,0,0,42419,0
38,Sales,UG,3,1,0,6,1,42419,0
44,HR,UG,2,4,0,8,0,29805,1
26,Purchasing,PG,1,4,0,7,1,24076,1
27,Purchasing,PG,2,1,1,7,0,29805,1
27,Marketing,UG,5,1,0,5,1,86750,0
31,Purchasing,PG,1,1,0,3,1,24076,1
39,Purchasing,PG,3,2,1,7,1,42419,0
35,Purchasing,PG,2,2,0,2,0,29805,0
24,Purchasing,UG,4,2,0,8,0,65715,0
35,Technology,UG,4,5,1,1,0,65715,1
44,Technology,UG,5,4,0,1,0,86750,1
43,Marketing,PG,4,4,0,6,1,65715,1
49,HR,UG,2,3,0,9,1,29805,0
45,Purchasing,UG,2,2,0,3,0,29805,0
41,HR,UG,4,5,0,9,0,65715,1
25,HR,UG,2,5,1,7,0,29805,0
32,Marketing,UG,5,4,1,8,1,86750,0
24,Purchasing,UG,1,2,1,6,0,24076,1
54,Purchasing,PG,5,3,1,4,0,86750,1
35,Sales,PG,5,2,1,7,1,86750,1
41,HR,UG,2,1,1,3,1,29805,0
48,HR,UG,1,2,0,1,0,24076,0
39,Technology,PG,2,1,1,5,1,29805,0
43,Sales,PG,3,1,1,8,0,42419,0
36,Technology,UG,2,3,0,0,1,29805,0
53,Technology,UG,2,4,0,9,0,29805,1
34,Technology,UG,2,2,1,6,0,29805,0
43,Marketing,UG,1,1,0,9,0,24076,0
34,Marketing,PG,2,2,1,8,0,29805,0
33,Technology,UG,1,4,0,9,1,24076,1
29,Sales,UG,4,4,1,8,1,65715,1
26,HR,UG,3,5,0,9,1,42419,1
41,Sales,UG,1,4,0,2,1,24076,0
23,Purchasing,PG,4,3,1,4,0,65715,1
50,Marketing,PG,1,1,1,7,0,24076,1
53,HR,PG,1,5,1,7,1,24076,1
46,HR,UG,3,3,1,3,1,42419,0
51,Purchasing,UG,5,2,1,0,1,86750,1
25,Purchasing,PG,5,1,0,0,1,86750,0
35,Technology,UG,1,4,1,3,1,24076,0
37,Marketing,UG,2,1,1,5,0,29805,1
24,Marketing,PG,4,2,0,7,0,65715,0
33,Sales,PG,2,5,0,5,0,29805,1
26,Technology,PG,2,5,1,8,1,29805,0
41,Technology,PG,1,5,0,8,1,24076,1
51,Technology,UG,1,4,0,1,1,24076,1
39,Technology,UG,1,3,1,9,1,24076,1
25,Marketing,PG,1,3,0,0,0,24076,0
50,Marketing,UG,5,1,0,1,0,86750,1
40,Technology,PG,1,4,1,4,1,24076,0
30,Sales,PG,5,5,1,3,0,86750,1
44,HR,UG,5,5,0,3,0,86750,0
47,HR,PG,1,2,0,8,1,24076,0
46,Sales,UG,3,2,1,7,1,42419,1
48,Technology,UG,4,5,0,5,1,65715,1
41,Marketing,UG,2,5,0,0,1,29805,1
27,HR,UG,5,4,0,1,1,86750,1
29,Purchasing,PG,4,3,1,5,1,65715,1
43,Purchasing,UG,3,2,0,1,0,42419,0
30,Sales,PG,2,3,0,9,0,29805,1
50,Technology,PG,2,4,1,4,1,29805,1
27,HR,PG,5,5,0,4,0,86750,0
39,Technology,PG,1,3,0,5,1,24076,1
27,HR,UG,3,5,1,5,1,42419,1
26,Sales,UG,5,5,1,5,1,86750,0
44,Sales,PG,3,1,1,1,1,42419,1
41,Purchasing,PG,1,3,1,9,0,24076,1
53,Technology,UG,1,3,0,2,1,24076,1
54,Purchasing,PG,5,5,0,5,0,86750,0
49,Technology,UG,1,4,1,7,1,24076,1
43,Purchasing,PG,4,1,1,0,1,65715,0
24,Marketing,UG,2,5,0,0,1,29805,1
33,Marketing,PG,5,2,1,1,0,86750,0
44,Marketing,PG,3,2,0,5,1,42419,1
35,Marketing,UG,4,1,1,8,1,65715,0
37,HR,PG,5,4,0,3,1,86750,0
34,Marketing,PG,1,5,1,2,0,24076,0
44,Sales,UG,1,3,1,7,0,24076,0
43,Sales,PG,1,1,0,9,0,24076,0
44,HR,UG,1,4,1,8,1,24076,0
33,Marketing,UG,3,3,0,4,0,42419,1
29,Marketing,PG,4,2,0,8,1,65715,1
50,Marketing,PG,2,2,0,1,0,29805,0
27,Purchasing,PG,3,3,0,2,0,42419,0
39,Technology,PG,3,1,0,6,1,42419,0
46,Purchasing,PG,2,2,1,6,0,29805,0
42,Technology,PG,2,5,1,5,1,29805,1
31,Marketing,PG,1,3,0,5,1,24076,0
36,Marketing,UG,3,3,1,1,0,42419,1
48,Purchasing,PG,5,2,0,9,1,86750,1
34,Purchasing,UG,2,1,1,5,1,29805,0
28,Technology,PG,2,5,1,3,0,29805,0
39,Sales,PG,4,1,1,2,0,65715,1
41,Technology,UG,5,4,1,1,1,86750,1
41,Purchasing,PG,5,4,0,0,0,86750,0
48,Purchasing,PG,2,2,0,4,1,29805,0
38,HR,UG,1,2,1,1,1,24076,0
34,Purchasing,PG,4,2,1,1,0,65715,1
34,HR,PG,5,4,0,6,0,86750,1
42,Sales,PG,2,1,1,7,0,29805,0
54,Technology,UG,5,1,0,9,0,86750,1
28,Technology,PG,4,2,0,7,1,65715,1
53,HR,PG,4,5,0,3,1,65715,0
45,Technology,PG,3,1,1,0,0,42419,0
48,Purchasing,PG,2,4,0,6,0,29805,1
26,Marketing,UG,4,3,1,0,1,65715,1
28,HR,UG,3,3,0,3,1,42419,0
33,Technology,PG,3,3,1,7,1,42419,0
23,HR,PG,5,5,1,1,1,86750,0
52,HR,UG,5,2,1,5,0,86750,0
46,Marketing,UG,3,4,0,5,1,42419,0
45,Purchasing,PG,5,5,0,8,1,86750,1
37,HR,UG,4,4,1,4,0,65715,1
49,Technology,PG,1,4,1,9,1,24076,1
33,Sales,UG,4,2,1,3,1,65715,1
54,HR,UG,3,3,0,4,0,42419,0
47,HR,UG,3,2,0,9,0,42419,0
41,Marketing,UG,4,5,0,4,0,65715,0
40,Purchasing,PG,5,5,0,7,1,86750,1
39,Sales,UG,5,5,1,9,1,86750,1
41,Technology,UG,3,2,1,7,0,42419,1
43,Sales,PG,2,4,0,1,0,29805,0
36,Technology,UG,5,4,0,6,1,86750,1
49,Purchasing,UG,4,1,1,7,0,65715,0
40,Technology,PG,5,5,0,5,0,86750,0
50,Marketing,UG,4,4,0,4,0,65715,0
41,Marketing,PG,3,1,0,8,1,42419,0
37,Marketing,PG,5,4,0,2,1,86750,0
53,Marketing,PG,4,5,0,9,1,65715,0
37,Sales,PG,3,3,0,3,1,42419,1
26,Purchasing,UG,2,5,1,8,1,29805,0
29,Technology,PG,4,2,0,5,1,65715,0
35,Technology,UG,2,4,0,7,0,29805,1
25,Marketing,UG,2,4,1,6,1,29805,0
38,Marketing,UG,1,2,1,1,1,24076,1
53,HR,UG,5,2,1,2,0,86750,1
31,Purchasing,UG,4,3,0,0,1,65715,1
30,Sales,UG,2,4,1,8,1,29805,0
42,Technology,UG,1,4,0,6,0,24076,0
35,HR,UG,3,3,0,0,0,42419,1
39,HR,UG,4,1,0,2,0,65715,0
39,Technology,UG,2,3,1,3,1,29805,0
39,Sales,PG,5,5,1,3,0,86750,1
23,HR,PG,1,4,1,4,1,24076,1
54,HR,PG,2,2,1,2,1,29805,0
30,Purchasing,UG,5,5,1,2,1,86750,1
41,Sales,PG,2,4,0,0,1,29805,1
53,HR,PG,4,3,0,6,0,65715,1
28,Sales,PG,4,5,0,9,0,65715,0
25,Technology,UG,4,4,0,0,1,65715,0
49,Marketing,UG,1,1,1,1,0,24076,0
27,HR,UG,4,1,1,3,1,65715,1
35,Purchasing,UG,5,2,0,3,1,86750,0
37,Technology,PG,2,4,1,4,1,29805,1
36,Sales,PG,3,1,1,1,0,42419,0
51,Technology,PG,5,3,0,3,1,86750,0
53,HR,PG,5,4,0,0,1,86750,1
45,Sales,UG,4,3,1,1,0,65715,0
38,Marketing,UG,1,3,1,0,0,24076,1
40,Technology,UG,2,1,0,9,0,29805,0
54,HR,PG,1,4,0,9,0,24076,0
44,Purchasing,UG,2,5,0,3,1,29805,1
51,Sales,UG,2,1,1,3,0,29805,1
44,Technology,PG,1,1,0,6,1,24076,1
33,Technology,PG,5,4,0,9,0,86750,0
25,Marketing,UG,2,4,1,8,0,29805,0
44,Marketing,UG,1,3,1,8,0,24076,0
32,Purchasing,UG,2,4,1,4,0,29805,1
32,Purchasing,UG,3,3,1,9,0,42419,1
54,HR,UG,5,1,1,0,0,86750,1
52,HR,UG,4,2,0,0,1,65715,0
43,Purchasing,PG,2,5,0,5,0,29805,0
38,Purchasing,PG,3,1,1,1,0,42419,1
34,Sales,PG,4,4,1,7,0,65715,0
24,Marketing,UG,4,5,1,8,0,65715,1
31,HR,PG,2,2,1,3,1,29805,0
46,Marketing,UG,1,2,1,4,0,24076,0
25,Marketing,UG,2,3,0,7,0,29805,1
46,Purchasing,PG,3,5,0,2,0,42419,0
52,Sales,UG,4,3,0,4,0,65715,0
47,Technology,UG,2,1,0,2,1,29805,1
52,Sales,PG,1,5,1,9,0,24076,1
37,Sales,PG,2,1,0,2,1,29805,0
25,Marketing,PG,5,3,1,2,0,86750,1
41,Sales,UG,1,5,1,6,1,24076,0
40,HR,PG,3,3,1,6,1,42419,1
30,Marketing,PG,4,5,0,6,0,65715,0
48,HR,UG,2,3,1,9,0,29805,0
39,Technology,PG,1,2,0,7,1,24076,1
30,Marketing,PG,5,3,0,4,1,86750,0
29,Technology,PG,1,2,1,4,0,24076,0
52,Marketing,UG,5,3,1,3,1,86750,1
29,Purchasing,UG,3,5,1,6,1,42419,1
25,Sales,UG,4,5,0,9,1,65715,0
23,Purchasing,UG,3,5,1,3,0,42419,1
26,Technology,PG,2,4,0,1,1,29805,1
47,Sales,UG,1,1,1,3,1,24076,0
27,Marketing,UG,5,5,1,7,1,86750,0
23,Sales,PG,5,2,0,8,0,86750,1
37,HR,PG,1,5,0,2,0,24076,1
27,Sales,PG,1,4,0,6,1,24076,1
35,HR,UG,2,2,0,8,0,29805,0
30,Sales,UG,3,4,0,3,1,42419,0
30,HR,UG,5,2,0,9,0,86750,0
27,Technology,PG,2,3,1,2,0,29805,0
50,Purchasing,PG,3,1,1,4,1,42419,0
54,Marketing,UG,2,1,0,0,0,29805,0
31,Sales,PG,5,4,1,2,0,86750,0
53,Purchasing,PG,1,1,0,7,0,24076,1
23,Marketing,PG,1,4,1,7,1,24076,1
26,Marketing,UG,3,4,1,3,0,42419,0
25,HR,PG,4,4,0,1,0,65715,0
24,Technology,PG,3,1,0,7,1,42419,0
53,Technology,UG,4,4,0,7,0,65715,1
30,Purchasing,UG,2,1,1,9,0,29805,0
45,Technology,PG,2,4,0,3,0,29805,1
31,Sales,PG,5,5,1,2,0,86750,1
24,Technology,UG,4,4,0,1,0,65715,1
36,Purchasing,UG,5,2,1,8,1,86750,1
36,Technology,PG,1,4,1,0,1,24076,1
54,Sales,PG,4,3,0,6,0,65715,0
26,HR,PG,3,4,1,4,0,42419,0
52,Purchasing,PG,1,2,1,7,0,24076,1
53,HR,UG,1,2,0,3,1,24076,0
28,HR,PG,3,1,1,6,1,42419,1
33,HR,PG,1,5,0,4,0,24076,1
25,Marketing,UG,4,4,0,4,0,65715,0
30,Marketing,PG,5,1,0,8,1,86750,0
25,HR,UG,1,5,0,8,0,24076,0
36,Purchasing,PG,4,4,1,8,1,65715,0
50,Sales,PG,2,3,1,5,1,29805,0
35,Sales,UG,4,4,1,5,0,65715,1
35,Technology,UG,5,2,0,4,1,86750,0
54,Purchasing,PG,4,2,1,8,0,65715,0
24,Marketing,PG,3,3,1,9,0,42419,0
35,HR,PG,5,1,0,7,0,86750,1
51,Technology,UG,2,5,0,6,0,29805,0
41,Sales,PG,3,4,1,6,0,42419,1
49,Marketing,UG,4,2,0,5,0,65715,0
28,Marketing,UG,5,1,0,4,1,86750,0
38,HR,PG,2,3,0,3,1,29805,1
24,Sales,UG,3,2,0,2,1,42419,0
30,Purchasing,PG,2,3,1,2,1,29805,0
39,Marketing,PG,4,4,0,5,0,65715,1
45,HR,PG,2,5,0,3,1,29805,0
24,Purchasing,PG,1,2,0,5,1,24076,1
32,Sales,PG,3,2,0,2,1,42419,1
50,Marketing,UG,2,4,0,3,0,29805,1
38,Purchasing,UG,4,1,0,8,1,65715,1
28,Purchasing,PG,4,5,0,4,0,65715,1
50,Purchasing,PG,2,2,0,6,1,29805,0
24,Marketing,UG,4,5,1,9,0,65715,0
24,Marketing,UG,5,2,0,1,0,86750,0
48,Technology,UG,5,5,1,4,1,86750,1
35,Sales,UG,5,3,0,8,0,86750,1
46,HR,PG,1,2,0,2,0,24076,1
37,Purchasing,PG,2,5,0,8,1,29805,1
53,Technology,UG,1,1,0,5,1,24076,0
50,HR,PG,4,3,1,3,1,65715,0
24,Technology,UG,1,3,0,6,0,24076,1
29,Marketing,PG,4,1,0,7,0,65715,1
25,Purchasing,UG,4,5,1,5,0,65715,0
30,HR,PG,3,4,1,4,1,42419,1
45,HR,UG,5,1,0,5,0,86750,1
36,HR,UG,4,5,1,4,0,65715,1
46,HR,PG,3,1,1,7,0,42419,0
52,HR,UG,5,1,1,0,0,86750,0
45,Technology,PG,4,2,0,6,0,65715,1
49,Purchasing,PG,4,5,0,9,0,65715,0
44,Marketing,UG,1,4,0,9,0,24076,1
51,Marketing,PG,1,2,1,1,1,24076,1
29,Marketing,PG,5,1,0,8,1,86750,0
43,Marketing,PG,4,1,1,0,1,65715,1
29,Technology,PG,2,1,0,9,0,29805,1
23,Sales,PG,1,5,0,5,0,24076,0
39,Purchasing,UG,5,5,1,8,1,86750,1
31,HR,PG,4,2,0,0,0,65715,1
52,Sales,PG,4,4,1,3,1,65715,1
43,Marketing,PG,2,2,1,3,0,29805,0
35,Sales,PG,5,3,0,8,0,86750,1
43,Purchasing,PG,4,1,1,4,1,65715,0
41,HR,UG,1,1,0,4,1,24076,1
43,HR,PG,2,1,0,5,1,29805,1
41,Purchasing,UG,5,2,1,0,1,86750,1
47,Purchasing,UG,2,2,0,0,1,29805,1
47,Marketing,UG,1,1,1,8,0,24076,0
44,HR,UG,5,2,0,2,0,86750,0
53,Sales,PG,2,5,0,3,0,29805,1
39,Technology,UG,3,5,0,0,1,42419,1
45,Technology,UG,1,2,0,8,1,24076,1
45,Purchasing,PG,1,1,0,7,1,24076,1
54,Marketing,PG,1,2,1,1,1,24076,1
52,Technology,PG,3,2,1,7,1,42419,1
32,HR,UG,3,2,1,6,1,42419,1
32,Purchasing,PG,4,3,1,5,0,65715,1
26,Sales,PG,2,5,1,0,0,29805,0
30,Purchasing,UG,4,4,1,6,0,65715,0
44,Sales,PG,2,4,0,9,0,29805,0
42,Purchasing,PG,3,3,0,6,0,42419,1
42,Purchasing,PG,3,2,1,8,1,42419,1
54,Purchasing,PG,4,3,1,0,1,65715,1
40,Sales,UG,5,3,0,1,1,86750,0
36,Sales,PG,4,1,0,8,1,65715,1
40,Purchasing,PG,2,5,0,8,1,29805,0
50,Technology,UG,4,4,1,5,1,65715,1
36,Marketing,PG,1,2,1,5,0,24076,0
42,Marketing,UG,2,4,1,3,1,29805,0
43,Marketing,PG,2,4,0,3,1,29805,0
46,Sales,UG,5,5,0,4,1,86750,1
37,Sales,UG,3,4,1,2,1,42419,0
44,Technology,UG,2,4,1,0,0,29805,1
52,Marketing,UG,3,3,0,0,0,42419,1
53,Marketing,PG,4,5,0,6,1,65715,1
26,Purchasing,UG,1,1,0,0,0,24076,1
35,Sales,PG,5,2,0,0,0,86750,1
49,Marketing,UG,3,4,1,2,1,42419,0
45,Technology,UG,2,2,0,9,1,29805,1
30,Technology,UG,3,1,0,3,1,42419,1
40,Marketing,PG,2,2,0,3,1,29805,1
34,Sales,UG,3,1,1,1,1,42419,1
45,Technology,PG,2,3,1,0,0,29805,1
53,Purchasing,PG,4,4,0,2,1,65715,0
36,Technology,PG,2,1,0,3,1,29805,0
24,HR,PG,2,2,0,2,1,29805,1
40,HR,PG,1,4,1,7,0,24076,0
46,Sales,PG,2,3,1,9,1,29805,0
24,Marketing,PG,1,4,1,0,1,24076,1
53,Sales,PG,5,1,0,1,1,86750,0
33,Sales,PG,1,3,1,6,0,24076,1
31,Sales,UG,4,2,0,3,1,65715,0
34,Sales,UG,1,3,0,7,1,24076,0
39,Purchasing,UG,5,3,0,2,1,86750,0
37,Purchasing,UG,4,5,1,5,0,65715,1
47,Technology,UG,3,3,0,8,1,42419,0
53,HR,PG,3,3,1,0,1,42419,0
39,Sales,PG,1,4,1,0,1,24076,1
48,Technology,PG,1,2,0,7,0,24076,1
51,HR,PG,5,4,0,2,1,86750,0
48,Marketing,PG,5,4,1,4,1,86750,1
40,Purchasing,PG,2,1,0,0,1,29805,0
54,HR,PG,5,4,1,4,0,86750,0
44,Marketing,UG,2,5,0,5,0,29805,1
28,HR,UG,4,5,1,7,1,65715,1
39,Purchasing,UG,1,1,1,2,0,24076,1
45,Purchasing,UG,4,2,1,2,0,65715,0
46,Technology,PG,5,2,1,9,0,86750,1
40,Sales,PG,4,4,0,8,1,65715,0
30,HR,PG,4,4,0,3,1,65715,1
31,HR,UG,4,4,1,3,0,65715,0
28,Marketing,PG,5,2,1,6,0,86750,1
27,Purchasing,PG,4,3,0,1,0,65715,0
34,HR,PG,2,5,0,7,1,29805,1
47,Purchasing,UG,5,3,0,5,1,86750,0
54,HR,PG,4,3,0,2,0,65715,1
51,Technology,UG,5,2,0,8,0,86750,1
50,Sales,UG,3,3,0,4,0,42419,0
33,HR,UG,2,1,1,7,0,29805,1
47,Purchasing,UG,4,4,0,6,1,65715,0
23,Technology,PG,3,1,0,7,0,42419,0
33,HR,UG,3,5,1,6,1,42419,1
41,Marketing,UG,5,4,0,2,0,86750,0
31,Sales,PG,3,3,0,1,0,42419,1
49,HR,PG,2,5,0,6,0,29805,1
24,Technology,UG,2,4,0,2,0,29805,0
34,Marketing,PG,1,3,0,2,0,24076,1
26,Technology,UG,2,1,1,1,1,29805,0
26,Technology,UG,3,4,0,3,0,42419,0
